business_name,platform,post_id,post_url,published_at,caption,hashtags,media_urls,likes,comments,shares,top_comments
Vieira's Gym,facebook,1610565591071905,https://www.facebook.com/vieirasgym/posts/pfbid0iMqwH422haeuRm7zp8QBG6EBsYPQjboLyHPTUNjhJXRgKyWq6o27kVHv1FPqgNuil,2026-04-30T20:25:06.000Z,"Competir é mais do que apenas ganhar, é sobre se desafiar e crescer. 11.04.2026 #wakomocambique #kickboxing #combatsport #maputo #matola  @kaz.lukas @mr_chutumia @ayed.vilas @ivanchunguas @kcorreia.vieira @banze.btw @nayltonchilundo @shaylalwmonteiro","wakomocambique, kickboxing, combatsport, maputo, matola","https://scontent-lga3-2.xx.fbcdn.net/v/t51.82787-15/681728933_18420421645126051_8904008458822824364_n.jpg?stp=dst-jpg_tt6&cstp=mx837x438&ctp=s590x590&_nc_cat=107&ccb=1-7&_nc_sid=127cfc&_nc_ohc=lr9Y6k8qL_IQ7kNvwE_13qU&_nc_oc=AdrfYaTlOeXVSrQ9qGFydWjHkPfl-kosTUJ_IWn_psQPANCHtHSwxIOxIzdngUnHRzc&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=RUXRlkD5Arllsuo9KPzV4A&_nc_ss=72289&oh=00_AQATYeIYFX3SZwIXuhdbpo3odpstrDOyZaY3fLfZbX-i4g&oe=6A6D1F3B, https://scontent-lga3-3.xx.fbcdn.net/v/t51.82787-15/681550343_18420421663126051_5008527465380814954_n.jpg?stp=dst-jpegr_tt6&cstp=mx1440x1080&ctp=s590x590&_nc_cat=106&ccb=1-7&_nc_sid=127cfc&_nc_ohc=TtskTMNwbNwQ7kNvwGlHqAI&_nc_oc=AdpdY4ax_GkGttEeHlw7JIXwVQ88_lf7YJOAW2k90okq73GHh4sjbj0t6TJAZHtUbwY&_nc_zt=23&se=-1&_nc_ht=scontent-lga3-3.xx&_nc_gid=RUXRlkD5Arllsuo9KPzV4A&_nc_ss=72289&oh=00_AQDffik-FFVPc7qg9pIAQFFbCxcwat5HDdVHad6de5uNNA&oe=6A6D276F, https://scontent-lga3-1.xx.fbcdn.net/v/t51.82787-15/683391453_18420421654126051_7080433992357847253_n.jpg?stp=dst-jpg_tt6&cstp=mx960x720&ctp=s590x590&_nc_cat=103&ccb=1-7&_nc_sid=127cfc&_nc_ohc=K7J0ZKfEez4Q7kNvwGWQCGh&_nc_oc=AdoNUURrKi8f0NFvlTCMkoN20GuPFrvgwifq4vC_8qbkHekstQiNCoUy-46LoTxLNz8&_nc_zt=23&_nc_ht=scontent-lga3-1.xx&_nc_gid=RUXRlkD5Arllsuo9KPzV4A&_nc_ss=72289&oh=00_AQCm4OJmsKB2VFpvnt5BVIYTgWgdXe70smZI_00_MS1kUw&oe=6A6D23D2",12,1,0,
Vieira's Gym,facebook,1599842792144185,https://www.facebook.com/vieirasgym/posts/pfbid02c5QhPXZwJLGRbHKXHzyFjNa2cfN5MPMUuyQucZvwXCMBrLeCGbomomESBanxLeh1l,2026-04-20T09:40:00.000Z,"O alongamento 🙆‍♂️antes da musculação 🏋️tem como principal objetivo preparar o corpo para o esforço físico💪, aumentando a flexibilidade e a amplitude de movimento.                         Quer treinar com bom acompanhamento?Junta-te a nós”. WhatsApp: +258828436590  #maputo #matola #treinos #motivação #vidasaudavel","maputo, matola, treinos, motiva%C3%A7%C3%A3o, vidasaudavel",https://scontent-lga3-3.xx.fbcdn.net/v/t51.82787-15/673117808_18418805983126051_5946968778361961305_n.jpg?stp=dst-jpegr_tt6&cstp=mx1440x1920&ctp=p526x296&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=S3KIyPD1C2oQ7kNvwEnD2vu&_nc_oc=Adp5-hZH49R7RvYtzrNWkyTCXt344ot7E3uzlBnpwqT6vJ_Sagp230Moh3yp84f5DJM&_nc_zt=23&se=-1&_nc_ht=scontent-lga3-3.xx&_nc_gid=RUXRlkD5Arllsuo9KPzV4A&_nc_ss=72289&oh=00_AQB7ybFevEW0CufbUL9NGreU6T7OR98X5jK8pTiytd_CHw&oe=6A6D3962,3,0,0,
Vieira's Gym,facebook,1578717564256708,https://www.facebook.com/vieirasgym/posts/pfbid02AAZxccfJ1KuN5K122K62cPZsR6GAjK1u5jJE7kvKpVBkxYKsan6uL4k9ocwDDFZpl,2026-03-27T11:12:00.000Z,"A persistência é o caminho do êxito e a motivação transforma decisões em realidade. 👌Não espere sorte, crie-a com acções constantes, pois o esforço de hoje é o orgulho de amanhã.💪 @kaz.lukas @ayed.vilas  @domingas_lm @leidafumo @_alvaro_diogo @nayltonchilundo  #kickboxing  #wakomoçambique #maputo #matola","kickboxing, wakomo%C3%A7ambique, maputo, matola",https://scontent-lga3-2.xx.fbcdn.net/v/t51.82787-15/658641696_18415085926126051_985718702764947068_n.jpg?stp=dst-jpg_tt6&cstp=mx1440x915&ctp=p843x403&_nc_cat=105&ccb=1-7&_nc_sid=127cfc&_nc_ohc=SapVsT1EoIIQ7kNvwEscjY6&_nc_oc=Adp9ZnFtjByi88DMfIIoMB1JSlJvgzVwR09WwD9ULMk0_oAbcauHS7CukvnTr6eSkOg&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=RUXRlkD5Arllsuo9KPzV4A&_nc_ss=72289&oh=00_AQBfQ-l-8asZlQjQfICeIvo3TCxzTxjfBNJGL0TNpY1dvA&oe=6A6D520A,3,0,0,
Vieira's Gym,facebook,1558192906309174,https://www.facebook.com/vieirasgym/posts/pfbid0GvXSQSwhCAbfbD1C1c7jXPqiyrNpFwHJ2NKTwWVyXvCYCDBUPmgW8DjceJ1oTaUjl,2026-03-04T21:15:06.000Z,"Fui convidado pela Associação de Taekwondo da cidade de Maputo para  partilhar um pouco da minha experiência sobre como criar,gerir um ginásio/ academia de forma a que esta seja um sucesso…21/02/2026 .Quero agradecer ao elenco da Adtcm em especial ao presidente @josedaconceicaotembe  pelo convite  e dar os parabéns  a todos que participaram desta formação para instrutores e monitores de Taekwondo.",,"https://scontent-lga3-3.xx.fbcdn.net/v/t51.82787-15/645919393_18410926960126051_4639938383957226890_n.jpg?stp=dst-jpg_tt6&cstp=mx900x1200&ctp=s590x590&_nc_cat=106&ccb=1-7&_nc_sid=127cfc&_nc_ohc=fL4F6kYa4kUQ7kNvwFdOz6e&_nc_oc=AdoTCxj8bPmTn_lVHhMX5vzSxWD26QGzafhN0NwP3Uv0TpMLhvt0tmc5pNA9Gxg61Y0&_nc_zt=23&_nc_ht=scontent-lga3-3.xx&_nc_gid=Id0LU0VtQk4dWIfGb38tpA&_nc_ss=72289&oh=00_AQDDYErdfjid8VQYKc_s0V_YulxRyNt_YV52rH38NkPX9g&oe=6A6D5093, https://scontent-lga3-3.xx.fbcdn.net/v/t51.82787-15/645820903_18410926969126051_4741654546695815615_n.jpg?stp=dst-jpg_tt6&cstp=mx900x1200&ctp=s590x590&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=dhQjtt6MERsQ7kNvwFb9_1J&_nc_oc=AdrI_CIn1-sn5ywbNytJnGzM2PCJfQjHLx2e4RUs1uKOkqVlteDMzFHV_ebDP-uGFaU&_nc_zt=23&_nc_ht=scontent-lga3-3.xx&_nc_gid=Id0LU0VtQk4dWIfGb38tpA&_nc_ss=72289&oh=00_AQB44Kg1kk8kkqQsZsxBF5em8k87ZfkWRHaE7w2pRB959Q&oe=6A6D26E7, https://scontent-lga3-1.xx.fbcdn.net/v/t51.82787-15/645841466_18410926999126051_1724056440867713859_n.jpg?stp=dst-jpg_tt6&cstp=mx1440x1920&ctp=s590x590&_nc_cat=110&ccb=1-7&_nc_sid=127cfc&_nc_ohc=jaddLLc_iwUQ7kNvwFWh-U6&_nc_oc=Adr9c5Xw1ILTlu4RxmJHk31NeQyOuCqVNCW2RhqRnlHIuWm9ZGgf18ATCFFZ6ao8foM&_nc_zt=23&_nc_ht=scontent-lga3-1.xx&_nc_gid=Id0LU0VtQk4dWIfGb38tpA&_nc_ss=72289&oh=00_AQDQcwmBDilwVmqVq_T5808seuihOwvVzfUJOjrVM1qcsg&oe=6A6D36B1, https://scontent-lga3-1.xx.fbcdn.net/v/t51.82787-15/645818994_18410926990126051_4895275930548750721_n.jpg?stp=dst-jpg_tt6&cstp=mx1440x1920&ctp=s590x590&_nc_cat=110&ccb=1-7&_nc_sid=127cfc&_nc_ohc=T7lLm93tHDIQ7kNvwElP1gU&_nc_oc=AdrYc1k5da1TIJwk7ogMLtVqiTkedsxI_L7-IxJ47fPsHGvmsWr9H4NQx0EnQ1CRRsc&_nc_zt=23&_nc_ht=scontent-lga3-1.xx&_nc_gid=Id0LU0VtQk4dWIfGb38tpA&_nc_ss=72289&oh=00_AQALAH_YvFiQsEGi34tENvx4vxbKs7C0JCJ8iZoAwcpnBg&oe=6A6D4380, https://scontent-lga3-3.xx.fbcdn.net/v/t51.82787-15/645936300_18410926978126051_912288643384656853_n.jpg?stp=dst-jpg_tt6&cstp=mx900x1200&ctp=s590x590&_nc_cat=106&ccb=1-7&_nc_sid=127cfc&_nc_ohc=g16xcSxnuvUQ7kNvwHpq1eT&_nc_oc=AdrFlnsexD_vDThw3j4erv0euU4oqgWaydnqhI_oYH5TYPRLTytaQgwTYvpTttMrky0&_nc_zt=23&_nc_ht=scontent-lga3-3.xx&_nc_gid=Id0LU0VtQk4dWIfGb38tpA&_nc_ss=72289&oh=00_AQAbBivcjTfEkzfN6iPfItfV8h-godLrGCuThp5DRXRIGQ&oe=6A6D20E2",11,0,0,
Vieira's Gym,facebook,1516249020503563,https://www.facebook.com/vieirasgym/posts/pfbid032jJDtHxEHJxYi73QHkgKwdbkrnTd4aVnUdmL62aSjKBwTWoF5s4y8s8huykJs7z4l,2026-01-19T09:09:27.000Z,"‘’Fomos criados para avançar, crescer e subir de nível. A nossa natureza é de crescimento e isso implica esforço e trabalho duro…no final vale sempre a pena”.🥊🥋 @ayed.vilas @kaz.lukas @larson_sithoy @joaquim_nhanala @banze.btw",,https://scontent-lga3-3.xx.fbcdn.net/v/t51.82787-15/619839491_18402385222126051_928952427689340513_n.jpg?stp=dst-jpg_tt6&cstp=mx1440x1080&ctp=s720x720&_nc_cat=106&ccb=1-7&_nc_sid=127cfc&_nc_ohc=sadTdI8_MgkQ7kNvwE05BiL&_nc_oc=AdqVr3v34wt1epiKUBgvmpIH3XQ9RdmohUwvvtNL8wctLDojVk8DzW9s413y8RI9Sm4&_nc_zt=23&_nc_ht=scontent-lga3-3.xx&_nc_gid=Id0LU0VtQk4dWIfGb38tpA&_nc_ss=72289&oh=00_AQDtbuZQF7HmM8_ceHDH2KoVjA88tF3Hx6jNJWC1PHKLYQ&oe=6A6D5012,4,0,1,
Vieira's Gym,facebook,1505341391594326,https://www.facebook.com/vieirasgym/posts/pfbid03Y3NfUn6VEaZRmxPCdSVKqdNdUipbBPmZBCxJQix618AxjmDUybZv4ar4YrJ3deJl,2026-01-06T11:49:07.000Z,“Cada desafio é uma oportunidade para crescer e se superar. Enfrentemos juntos com determinação”.                         #taekwondo #maputo #matola #martialarts #vieirasgym  @ayed.vilas @derciodaude @kcorreia.vieira @davidandrade64,"taekwondo, maputo, matola, martialarts, vieirasgym",https://scontent-lga3-2.xx.fbcdn.net/v/t51.82787-15/611269913_18400914520126051_7353624116514207761_n.jpg?stp=dst-jpg_tt6&cstp=mx1440x754&ctp=s960x960&_nc_cat=101&ccb=1-7&_nc_sid=127cfc&_nc_ohc=g2Md0IjH4nEQ7kNvwFCj1pP&_nc_oc=AdolMqSX4efP0Zald3UzAi5oZl7LjAfd2aqJSuKy1wwtpTR96KULKRovWERX8VmRqxk&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=Id0LU0VtQk4dWIfGb38tpA&_nc_ss=72289&oh=00_AQCYrfzT74pPoOkGwFQ3MbBfHgI4WMt0IdswaOsXJeTAxg&oe=6A6D4F9C,0,0,0,
Vieira's Gym,facebook,1499794242149041,https://www.facebook.com/vieirasgym/posts/pfbid028Fq7tLzvUgMhne4kiWhVZ7b3c1Q8sw4ygW69WWCm61YGpkRyim4BY9rHpRwpg7YUl,2025-12-30T12:46:09.000Z,"“A dor do treino é temporária, mas a satisfação da conquista é para sempre”.  Muitos parabéns pela nova etapa 🥋🥊🇲🇿… @djv.ofc  @ivanchunguas  #kickboxingmoz #wakomoçambique #vieirasgym #maputo #matola","kickboxingmoz, wakomo%C3%A7ambique, vieirasgym, maputo, matola",https://scontent-lga3-2.xx.fbcdn.net/v/t51.82787-15/608177711_18400030924126051_717605435805103536_n.jpg?stp=dst-jpg_tt6&cstp=mx1440x1636&ctp=s590x590&_nc_cat=107&ccb=1-7&_nc_sid=127cfc&_nc_ohc=YwxSv-ydUn0Q7kNvwGTCFk4&_nc_oc=Adq32q8fu4WnVUDNHU0SHuBzOZUtJFzeDm05KdkkAwBc0G8M8_u0s54gmk_CldL91YY&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=e8aVCeRKJgsBpY2ivPdFbA&_nc_ss=72289&oh=00_AQCbtRYUERzg4Dd-60H60M_toD-FNoJSdTRDCIHq9qDQUg&oe=6A6D4718,5,0,0,
Vieira's Gym,facebook,1495725489222583,https://www.facebook.com/vieirasgym/posts/pfbid0wpohiL8PUM6QrdjkxJ4toUBzW44Q4MHueX7wt6p7VAqmppmbuC9m2d9Kyam5mxgQl,2025-12-25T08:17:10.000Z,🚨Nb:O ginásio continua aberto para os alunos interessados em usar as salas de treino nos horários normais de funcionamento obrigado💪🥋🏋️🥊🤼‍♂️  #vieirasgym #ginasio  #maputo #matola moçambique🇲🇿,"vieirasgym, ginasio, maputo, matola",https://scontent-lga3-1.xx.fbcdn.net/v/t51.82787-15/605788477_18399432469126051_1818456259148906563_n.jpg?stp=dst-jpg_tt6&cstp=mx1365x1820&ctp=p526x296&_nc_cat=110&ccb=1-7&_nc_sid=127cfc&_nc_ohc=xSaYA7QXfKgQ7kNvwH74F9r&_nc_oc=AdqysYuIDk3_AsI5oZCwkdd7LX_kGWkCg0nHsyZw01dS6Hy7CCqwFAQ71gcar1fR4T4&_nc_zt=23&_nc_ht=scontent-lga3-1.xx&_nc_gid=e8aVCeRKJgsBpY2ivPdFbA&_nc_ss=72289&oh=00_AQCa29sIIAwLlMTKoyRvGzplDVMLMzQOC0nMnE_33XVmeg&oe=6A6D2000,2,0,0,
Vieira's Gym,facebook,1484696613658804,https://www.facebook.com/vieirasgym/posts/pfbid0aALtYduJaXvKTuv6LXdXixvBzsFrsh2C1eidwryzCzthUwjk2VFw18DuStLXd7Wxl,2025-12-12T12:31:41.000Z,#wakomoçambique #kickboxingmozambique🇲🇿,"wakomo%C3%A7ambique, kickboxingmozambique",https://scontent-lga3-2.xx.fbcdn.net/v/t51.82787-15/599906801_18397933633126051_4608931817862446032_n.jpg?stp=dst-jpg_tt6&cstp=mx1440x943&ctp=p180x540&_nc_cat=105&ccb=1-7&_nc_sid=127cfc&_nc_ohc=udHX6G9zz8gQ7kNvwHr9MBR&_nc_oc=Adpt6nAVRlVgdGXYcD41ceoP4j_dH071TXjNx3_Pf2j_kRfiJimzk93idkBRCtpvzEk&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=e8aVCeRKJgsBpY2ivPdFbA&_nc_ss=72289&oh=00_AQC7ZDrk3N-kNCuCRI1lQe6TAH5T5yJU57jGpdEz0mfzaA&oe=6A6D1AD1,4,0,1,
Vieira's Gym,facebook,1475542891240843,https://www.facebook.com/vieirasgym/posts/pfbid0uchhgbpkVToDXu55GfQncVv9C4ScQ1EEwMyjy3w7gyAosL3RnAqSTnQqz2M5Yebvl,2025-12-02T08:00:40.000Z,@kaz.lukas @ayed.vilas @mr_chutumia @vieiras_gym @djv.ofc,,https://scontent-lax7-1.xx.fbcdn.net/v/t51.82787-15/589107718_18396707023126051_1573673716240471718_n.jpg?stp=dst-jpg_tt6&cstp=mx1440x1080&ctp=s720x720&_nc_cat=105&ccb=1-7&_nc_sid=127cfc&_nc_ohc=iBx3p83dQKQQ7kNvwEs3_dM&_nc_oc=AdoEAiketY9_DGvqY7X-GBqIKSmb-oF9I6SHJQF26M-LOIMrNJ3qz2oUKbtnWSrWCZSzm40YviBPugHOV7oeMF_D&_nc_zt=23&_nc_ht=scontent-lax7-1.xx&_nc_gid=RzaVdItsUdxYeFltLHOnNw&_nc_ss=7d289&oh=00_AQB4hA1jkrfpeZtrk6y-CmxWwXW2VxkRZnd3dPVkdvQzFQ&oe=6A6D3D9B,6,1,1,[object Object]
